path,artifact_family,artifact_kind,action,authority_state,replacement_path,archive_destination,git_tracked_expected,reason,notes
bmu_dispatch_history_test,bmu_dispatch,dispatch_test_output,delete,disposable_test_output,,,false,test dispatch output is disposable,untracked dispatch test artifact
bmu_history,bmu_generation,generation_example,keep,reference_example_snapshot,,,false,small standing and generation example remains useful,quick start example output
bmu_truth_history_dispatch_expansion_phase2,bmu_truth,truth_phase_snapshot,archive,superseded_truth_phase,bmu_truth_history_phase6_remit_fix,_local_archive/generated_outputs/bmu_truth_history_dispatch_expansion_phase2,true,dispatch expansion phase is superseded by latest remit fixed truth snapshot,phase2 before later truth refinements
bmu_truth_history_dispatch_expansion_phase2_windowed,bmu_truth,truth_phase_snapshot,archive,superseded_truth_phase,bmu_truth_history_phase6_remit_fix,_local_archive/generated_outputs/bmu_truth_history_dispatch_expansion_phase2_windowed,true,windowed dispatch expansion phase is superseded by latest remit fixed truth snapshot,phase2 windowed variant
bmu_truth_history_phase1,bmu_truth,truth_phase_snapshot,archive,superseded_truth_phase,bmu_truth_history_phase6_remit_fix,_local_archive/generated_outputs/bmu_truth_history_phase1,true,first pass truth snapshot is superseded by later truth phases,phase1 baseline
bmu_truth_history_phase3_availability,bmu_truth,truth_phase_snapshot,archive,superseded_truth_phase,bmu_truth_history_phase6_remit_fix,_local_archive/generated_outputs/bmu_truth_history_phase3_availability,true,availability phase is superseded by later truth phases,phase3 availability step
bmu_truth_history_phase4_family_day,bmu_truth,truth_phase_reference,keep,reference_example_snapshot,,,true,phase4 family day stays as a stable single-directory store backfill example,README references this path for support loop examples
bmu_truth_history_phase4_family_day_daily,bmu_truth,truth_phase_reference_daily,keep,reference_example_snapshot,,,true,daily tree stays as the stable truth-store backfill example,README references this path directly
bmu_truth_history_phase5_targeted_rerun,bmu_truth,truth_phase_snapshot,archive,superseded_truth_phase,bmu_truth_history_phase6_remit_fix,_local_archive/generated_outputs/bmu_truth_history_phase5_targeted_rerun,true,targeted rerun phase is superseded by latest remit fixed truth snapshot,phase5 targeted rerun step
bmu_truth_history_phase6_remit_fix,bmu_truth,truth_phase_authoritative,keep,authoritative_truth_snapshot,,,true,latest BMU truth snapshot remains authoritative,most complete truth phase in local stock
bmu_truth_history_test,bmu_truth,truth_test_output,delete,disposable_test_output,,,false,test truth output is disposable,untracked truth test artifact
